Venue,Latitude,Longitude,Venue Category
Danny's Sub Shop,39.05294045618789,-77.04962991049345,Chinese Restaurant
Eastern Carryout,39.02308740364127,-76.97804660388151,Chinese Restaurant
Jenny's Express,39.03960485131793,-77.05436352252569,Chinese Restaurant
Mayflower Buffet,39.06094520784501,-77.05069808144977,Chinese Restaurant
Bob's Shanghai 66,39.088812921327545,-77.1531687080209,Chinese Restaurant
Green Bamboo Asian Bistro,39.06287672223695,-77.11787559110476,Asian Restaurant
Joe's Noodle House,39.06571653200744,-77.12653777956253,Chinese Restaurant
Far East Restaurant,39.0460692911947,-77.10429700562877,Chinese Restaurant
China Bistro,39.0937,-77.15265,Chinese Restaurant
Jumbo Jumbo Bubble Tea Express,39.07734326882105,-77.14162260034759,Bubble Tea Shop
Taipei Cafe (頂鮮台灣料理),39.09420001861732,-77.15334905775563,Chinese Restaurant
Yuan Fu Vegetarian,39.0783823971177,-77.14043873482125,Chinese Restaurant
A & J Restaurant,39.06880283608732,-77.13043718460446,Chinese Restaurant
Five Guys,39.05644116380348,-77.11953268845461,Burger Joint
Panda Express,39.0245369183458,-77.14680259020228,Chinese Restaurant
Kenny's Sub Shop,39.0585315,-77.12294349999999,Chinese Restaurant
East Pearl Hong Kong Cuisine,39.07594255090273,-77.13746127656104,Chinese Restaurant
Peter Chang,39.08709059163763,-77.1509638559699,Szechuan Restaurant
East Dumpling House (老地方),39.08465791582313,-77.15282364277152,Chinese Restaurant
Xian Gourmet,39.089921999999994,-77.154126,Chinese Restaurant
Jumbo Jumbo Cafe,39.104228973033614,-77.15798867617177,Asian Restaurant
Mama Wok & Teriyaki,39.09176913596469,-77.1522528077533,Asian Restaurant
Grand Fusion,39.06160109281932,-77.15860960124145,Chinese Restaurant
Sichuan Jin River,39.08763302021616,-77.15175891716144,Chinese Restaurant
China Taste | Tokyo Express,39.05898030809266,-77.12461454814319,Chinese Restaurant
Asia Taste,39.10424610297593,-77.15792912926149,Chinese Restaurant
Silver Fountain,39.07743594717505,-77.08002602415417,Chinese Restaurant
Super Bowl Noodle House,39.07717769011585,-77.14097622953047,Noodle House
Taipei Tokyo Cafe,39.04515229896961,-77.11316807152652,Chinese Restaurant
Shanghai Taste,39.09162318835073,-77.17458735813862,Chinese Restaurant
Fusion Supper Club,39.09006155927196,-77.15394538912889,Taiwanese Restaurant
China Gourmet Bistro,39.040952,-77.157449,Chinese Restaurant
China Best,39.0570958704126,-77.08382916808263,Chinese Restaurant
Yu Noodles Cafe,39.088685,-77.154138,Chinese Restaurant
China Garden,39.058343,-77.125952,Chinese Restaurant
Asia Cafe,39.085039,-77.135809,Asian Restaurant
Mayflower Restaurant,39.091945,-77.17450500000001,Chinese Restaurant
Fortune Star Buffet,39.04517412185669,-77.110809,Chinese Restaurant
East Grill Karaoke,39.084538,-77.15345400000001,Chinese Restaurant
Hot Pot City,39.08404,-77.150651,Chinese Restaurant
New Mandarin,39.09510597202819,-77.11067384944286,Chinese Restaurant
China Fortune,39.082302,-77.142515,Chinese Restaurant
Simply Chinese,39.05796867,-77.11332982,Chinese Restaurant
China Garden Han Gong,39.043629,-77.113114,Chinese Restaurant
Shanghai 66 Bao Kitchen,39.024563,-77.146545,Shanghai Restaurant
China Canteen,39.09468120394703,-77.15335184855817,Chinese Restaurant
西游记 烤吧 A Bite of China,39.103589644895635,-77.15662837028503,Chinese Restaurant
Mandarin Wok,39.04454613898664,-77.10679064579483,Chinese Restaurant
Taipei Tokyo,39.096791513087055,-77.19310709089595,Chinese Restaurant
Bamboo Buffet,39.07567002028261,-77.1162771586564,Chinese Restaurant
Ma Ma Wok,39.100623930899964,-77.21158515970802,Chinese Restaurant
Shanghai Cafe,39.06822165736108,-77.2636076553572,Chinese Restaurant
Gui Lin,39.096049972324536,-77.20701572062595,Chinese Restaurant
China East,39.08521960958156,-77.22509820900763,Chinese Restaurant
Oriental Café,39.092066056975135,-77.20357324502788,Chinese Restaurant
P.F. Chang's,39.03327405230652,-77.42315438391415,Chinese Restaurant
China Gourmet Inn,39.04029595095587,-77.36727318297774,Chinese Restaurant
China Garden,39.03646339142585,-77.4080524490297,Chinese Restaurant
Health Relax Chinese massage & Reflexology,39.03971,-77.357694,Alternative Healer
Panda West Chinese Restaurant,39.0393098566786,-77.37935191667005,Chinese Restaurant
China King,39.034387976149,-77.39801932009597,Chinese Restaurant
East Moon Asian Bistro,38.97338916965295,-76.77184959780571,Asian Restaurant
Grace's Restaurant,38.95395134451951,-76.82298358493856,Chinese Restaurant
Golden Pavilion Asian Bistro,38.98562442358018,-76.75845890238641,Chinese Restaurant
Panda Express Bowie,38.945909,-76.73667900000001,Chinese Restaurant
Deh Ming Chinese School,38.976143,-76.77414499999999,Food
China Chef,38.97897787947763,-76.73436514595016,Chinese Restaurant
East Delight Chinese Restaurant,38.982372999999995,-76.73060100000001,Chinese Restaurant
Hunan Delight,38.97936547569643,-76.73295422259378,Chinese Restaurant
Danny's Carryout,38.991233133892926,-76.83308589191721,Chinese Restaurant
Top China 88,38.96427436926536,-76.78829685898812,Chinese Restaurant
Northwest Chinese Food 西贝肉夹馍,38.979986,-76.937701,Chinese Restaurant
East Pearl Asian Bistro,38.99331160764492,-76.87425173555401,Asian Restaurant
Ten Ren's Tea Time,38.98152055676591,-76.93791424442723,Chinese Restaurant
Panda Express,38.941827568550885,-76.90417649474999,Chinese Restaurant
Kenny's Carryout,38.99025029246823,-76.85458611361118,Dim Sum Restaurant
Panda Express,38.9880001788917,-76.94484497265756,Chinese Restaurant
Beijing,39.001209654979505,-76.87614241278335,Chinese Restaurant
Panda Express,38.979973,-76.93881,Chinese Restaurant
Hunan Treasure,38.99251052730954,-76.87817092554985,Chinese Restaurant
Teppanyaki Chinese Buffet,38.964420757375386,-76.84655098265662,Chinese Restaurant
China Buffet,39.00339312931243,-76.93105297707636,Chinese Restaurant
Asian Carry Out,38.942902589739816,-76.89798928452043,Chinese Restaurant
Yum's Express,39.01558191010149,-76.92841542651776,Chinese Restaurant
C.B. Chinese Grill,38.981186,-76.938663,Chinese Restaurant
Beijing Palace,38.944625,-76.931211,Chinese Restaurant
NY Buffet,38.9933087942013,-76.86412633509144,Chinese Restaurant
Sammy's Carry Out,38.95308336928152,-76.95468813216615,Chinese Restaurant
Shanghai Cafe,38.981185892972405,-76.93770303735131,Chinese Restaurant
Shanghai Cafe Chinese Restaurant,38.98108,-76.937596,Chinese Restaurant
Lenny's Yum,38.9619276484706,-76.86298330681868,Chinese Restaurant
House of China,38.965001,-76.897889,Chinese Restaurant
Eastern Panda,38.973335999999996,-76.84638199999999,Chinese Restaurant
China Fong's,38.9492,-76.886514,Asian Restaurant
Eastern Carry Out,38.93878161907196,-76.90802964,Chinese Restaurant
Hunan China Carry-Out,39.004364,-76.90298,Chinese Restaurant
Golden China,38.959946,-76.949975,Chinese Restaurant
Golden China,38.938645,-76.922652,Chinese Restaurant
Zhengs Chinese Restaurant,38.960618,-76.902971,Chinese Restaurant
Jimmy's Carrout,38.943411111831665,-76.93259418010712,Chinese Restaurant
Shen Yang Restaurant,39.01638,-76.9202,Chinese Restaurant
Eddie's Cafe,39.014664,-76.920161,Chinese Restaurant
Red Ginger Chinese Take Out,38.96406737,-76.85956703,Chinese Restaurant
Johnny's Carry Out,38.9646286,-76.84726740017067,Chinese Restaurant
China City,38.940203000000004,-76.93304599999999,Fujian Restaurant
Yum Chen,38.94233703613281,-76.90130615234375,Chinese Restaurant
Good Jerry,38.990598985424654,-76.85227125919481,Chinese Restaurant
Eastern Carryout,38.957796,-76.91766,Chinese Restaurant
Good Jerry Chinese Food,38.99017262592842,-76.85315758974893,Chinese Restaurant
Top Taste Carry Out,38.945631980895996,-76.8953275680542,Chinese Restaurant
eddys carry out,38.947809,-76.915183,Chinese Restaurant
Kenny’s Sub Shop,38.99114654531673,-76.85452898465576,Chinese Restaurant
Goodie's Sub Shop & Chinese Restaurant,38.962544125310046,-76.8641150740449,Chinese Restaurant
Golden House,38.965526000000004,-76.953295,Chinese Restaurant
