Venue,Latitude,Longitude,Venue Category
Charley's Grilled Subs,39.15029955028022,-77.18909755486862,Fast Food Restaurant
Subway,39.15327377798741,-77.20301176945787,Fast Food Restaurant
McDonald's,39.12971693720286,-77.16749399900436,Fast Food Restaurant
McDonald's,39.18496016508639,-77.18811632017605,Fast Food Restaurant
Baja Fresh,39.114607,-77.170803,Taco Place
Subway,39.140785127751975,-77.19445805669812,Fast Food Restaurant
Taco Bell,39.159406121849244,-77.15913327425831,Fast Food Restaurant
Burger King,39.11992996223367,-77.18229845166206,Fast Food Restaurant
McDonald's,39.17205635774522,-77.15346634352073,Fast Food Restaurant
Wendy's,39.159782021441075,-77.15917378664017,Fast Food Restaurant
Wendy's,39.154915232203365,-77.20034837722778,Fast Food Restaurant
Subway,39.14504801587383,-77.14517705642703,Fast Food Restaurant
AY! JALISCO,39.167479,-77.172128,Fast Food Restaurant
Sunrise Grill,39.171996,-77.15997800000001,Fast Food Restaurant
Pollo Campero,39.153116,-77.203127,Fast Food Restaurant
Taco Bar,39.116532901652214,-77.20595172303116,Mexican Restaurant
Chick-fil-A,39.1825028,-77.2610288,Fast Food Restaurant
Chick-fil-A,39.1244227,-77.2373329,Fast Food Restaurant
Popeyes Louisiana Kitchen,39.146785868916766,-77.20460916042931,Fast Food Restaurant
California Tortilla,39.15985872631434,-77.22178411113195,Fast Food Restaurant
Five Guys,39.1445169,-77.219777,Fast Food Restaurant
California Tortilla,39.11846666579781,-77.25378683523063,Fast Food Restaurant
Subway,39.171966484254305,-77.20524873051085,Fast Food Restaurant
Five Guys,39.121806889869404,-77.23488347262042,Fast Food Restaurant
Five Guys,39.181919132511936,-77.26495693290164,Fast Food Restaurant
Moby Dick House of Kabob,39.181945831023015,-77.26502703541897,Fast Food Restaurant
Gazebo,39.121111,-77.236306,Café
Popeyes Louisiana Kitchen,39.1824893118866,-77.23808295231045,Fast Food Restaurant
Red Robin Gourmet Burgers and Brews,39.182744811588904,-77.25977813970688,Fast Food Restaurant
Dairy Queen,39.15391,-77.204241,Fast Food Restaurant
Subway,39.1571773668614,-77.21217471783035,Fast Food Restaurant
Baja Fresh,39.18079520000001,-77.2680081,Fast Food Restaurant
IHOP,39.18310418287773,-77.25988683405873,Breakfast Spot
Subway,39.17823261283654,-77.26962178292746,Fast Food Restaurant
Roy Rogers,39.177703,-77.270697,Fast Food Restaurant
Subway,39.182629801686,-77.23802327287717,Fast Food Restaurant
Subway,39.18383648475868,-77.26010799407959,Fast Food Restaurant
Dairy Queen,39.1707843,-77.2619528,Fast Food Restaurant
Jimmy John's,39.144527997771114,-77.21967468003871,Fast Food Restaurant
Subway,39.17076006752484,-77.2619546551773,Fast Food Restaurant
Subway,39.160494582442944,-77.28039466237647,Fast Food Restaurant
Subway,39.14805987814071,-77.27525113715456,Fast Food Restaurant
Boston Market,39.149468812734916,-77.2089958190918,Fast Food Restaurant
McDonald's,39.178482749682495,-77.2396212816239,Fast Food Restaurant
Popeyes Louisiana Kitchen,39.14732160876136,-77.27323609774164,Fast Food Restaurant
Wendy's,39.11672,-77.251243,Fast Food Restaurant
McDonald's,39.14677612695661,-77.27422446012491,Fast Food Restaurant
McDonald's,39.14073870149743,-77.22214627462739,Fast Food Restaurant
Subway,39.11548377826296,-77.21686878773016,Fast Food Restaurant
Subway - Potomac Valley,39.11827065377645,-77.25165934355964,Fast Food Restaurant
Subway,39.14341593102881,-77.21754742335804,Fast Food Restaurant
Wendy's,39.18075821958404,-77.2701861582209,Fast Food Restaurant
Taco Bell,39.17831290998276,-77.24022617464303,Fast Food Restaurant
Subway,39.150885405914174,-77.20941555218481,Fast Food Restaurant
KFC,39.14700656917627,-77.20574493820556,Fast Food Restaurant
Chinese Express,39.157003,-77.211735,Chinese Restaurant
Subway,39.179776,-77.256313,Fast Food Restaurant
Subway,39.127064000000004,-77.20836,Fast Food Restaurant
Wendy's,39.14130120904918,-77.22280778886172,Fast Food Restaurant
Subway,39.11840035049506,-77.25178528695449,Fast Food Restaurant
Subway,39.157044063513005,-77.21168848316381,Fast Food Restaurant
Mc Donald,39.1407294524219,-77.22198255307254,Fast Food Restaurant
KFC,39.17832921334915,-77.24022443130013,Fast Food Restaurant
Taco Bell,39.18243909297278,-77.26294626607103,Fast Food Restaurant
Burger King,39.179570097682905,-77.26736234268174,Fast Food Restaurant
Subway,39.14412450818745,-77.41261268655069,Fast Food Restaurant
McDonald's,39.14415193472524,-77.41097546649138,Fast Food Restaurant
Chick-fil-A,39.0976356,-76.8077279,Fast Food Restaurant
Subway,39.099323216062615,-76.81473214925893,Fast Food Restaurant
McDonald's,39.098629810912655,-76.80640138687068,Fast Food Restaurant
Burger King,39.097451291663134,-76.80676102638245,Fast Food Restaurant
Subway,39.065717,-76.718956,Fast Food Restaurant
Popeyes Louisiana Kitchen,39.09917651715346,-76.80904220206776,Fast Food Restaurant
Arby's,39.098023727666,-76.7554450035095,Fast Food Restaurant
Duane's Caribbean Carryout,39.10226225852966,-76.72101080417633,Fast Food Restaurant
America's Wings And Seafood,39.101425,-76.717926,Fast Food Restaurant
McDonald's,39.096928,-76.72059,Fast Food Restaurant
McDonald's,39.0986,-76.802674,Fast Food Restaurant
Wendy's,39.0989541864524,-76.80509939789766,Fast Food Restaurant
Subway,39.0975833,-76.7294476,Fast Food Restaurant
Chick-fil-A,39.0773306,-76.8678368,Fast Food Restaurant
Five Guys,39.09764565331198,-76.84984138499802,Fast Food Restaurant
Chipotle Mexican Grill,39.085207074107956,-76.86234769323676,Mexican Restaurant
Taco Bell,39.0752046819523,-76.84904135960444,Fast Food Restaurant
Milk & Honey Cafe,39.029318219544884,-76.91590973621756,Café
Taco Bell / Pizza Hut Express,39.03221866034332,-76.9120624336667,Fast Food Restaurant
Popeyes Louisiana Kitchen,39.044516068047336,-76.95175447177742,Fast Food Restaurant
Arby's,39.0269833075655,-76.9181987643241,Fast Food Restaurant
Sarku Japan,39.02320050584376,-76.92443602334579,Fast Food Restaurant
Popeyes Louisiana Kitchen,39.09673452315254,-76.85054838774344,Fast Food Restaurant
Jimmy John's,39.090314,-76.857178,Fast Food Restaurant
Subway,39.065152244474156,-76.83839135483703,Fast Food Restaurant
Subway,39.04467180211679,-76.95282162371637,Fast Food Restaurant
Wendy's,39.082859333830655,-76.94677762226547,Fast Food Restaurant
Subway,39.09729924879868,-76.85514569841575,Fast Food Restaurant
McDonald's,39.04782162339307,-76.937446296215,Fast Food Restaurant
McDonald's,39.094157092343494,-76.85502335429192,Fast Food Restaurant
Wendy's,39.03100884864194,-76.91360414028162,Fast Food Restaurant
Subway,39.08488141992615,-76.86384844119527,Fast Food Restaurant
McDonald's,39.08279633810225,-76.94727085073276,Fast Food Restaurant
Subway,39.08681212580348,-76.87730270786739,Fast Food Restaurant
Subway,39.03414212419614,-76.90764987606491,Fast Food Restaurant
KFC,39.0332689267455,-76.91019353960537,Fast Food Restaurant
KFC,39.05061462657645,-76.93674421837909,Fast Food Restaurant
Burger King,39.0297857918271,-76.91409498453135,Fast Food Restaurant
Subway,39.093721720178486,-76.85626282175207,Fast Food Restaurant
Laurel Park Liquors,39.085188,-76.881184,Fast Food Restaurant
Subway,39.08311193608513,-76.9450661723996,Fast Food Restaurant
Blimpie,39.098279,-76.898752,Fast Food Restaurant
Arby's,39.09825209166144,-76.8491164632951,Fast Food Restaurant
Wendy's,39.04997909635502,-76.93721511284821,Fast Food Restaurant
KFC,39.10143864130654,-76.84676084692596,Fast Food Restaurant
Taco Bell,39.05055951519712,-76.93676887900496,Fast Food Restaurant
Burger King,39.09291327090326,-76.85484766960138,Fast Food Restaurant
Five Guys,39.028396612076115,-77.07735403264681,Fast Food Restaurant
Chick-fil-A,39.0574054,-76.9668768,Fast Food Restaurant
Five Guys,39.05688334478842,-76.96579029117227,Fast Food Restaurant
Chicken Basket,39.042756,-77.051441,American Restaurant
California Tortilla,39.031159104718235,-77.00416518815702,Mexican Restaurant
Popeyes Louisiana Kitchen,39.053272037804255,-77.05112092336206,Fast Food Restaurant
Roy Rogers,39.082186,-77.077497,Fast Food Restaurant
Taco Bell,39.08086448823977,-77.07661418678386,Fast Food Restaurant
Subway,39.06066998666891,-77.04852953774184,Fast Food Restaurant
Subway,39.080192270852635,-77.07218445594162,Fast Food Restaurant
Subway,39.092907126834625,-77.04546305270298,Fast Food Restaurant
Subway,39.07634411079631,-77.00416298250377,Fast Food Restaurant
Boston Market,39.04082379019119,-76.9906318187713,Fast Food Restaurant
Subway,39.10332297298767,-77.07522353458944,Fast Food Restaurant
Popeyes Louisiana Kitchen,39.03701450918126,-77.05393064647959,Fast Food Restaurant
Subway,39.0411132119278,-77.05122189419092,Fast Food Restaurant
Popeyes Louisiana Kitchen,39.03996870166622,-76.98916689709328,Fast Food Restaurant
Subway,39.040694696258825,-76.98966673612466,Fast Food Restaurant
Wendy's,39.084722236915276,-77.07675352692604,Fast Food Restaurant
Paul Kee Restaurant,39.0405128637392,-77.05132946547283,Chinese Restaurant
Kenny's Sub Shop,39.039019195255136,-77.0509555005003,Chinese Restaurant
Subway,39.036879841537434,-77.05524701537894,Fast Food Restaurant
McDonald's,39.09085961644582,-77.04699575901031,Fast Food Restaurant
Taco Bell,39.037072104682004,-77.05397562068656,Fast Food Restaurant
Pollo Campero,39.042667,-77.052269,Fast Food Restaurant
Wendy's,39.036994088943764,-77.05170832113708,Fast Food Restaurant
McDonald's,39.036408,-77.055161,Fast Food Restaurant
Boston Market,39.08126087744344,-77.07720547914505,Fast Food Restaurant
Popeyes Louisiana Kitchen,39.05482,-76.96699,Fast Food Restaurant
Famous Rotisserie & Grill,39.0367,-77.05394,Fast Food Restaurant
go-stir fry,39.035931,-77.054981,Fast Food Restaurant
Baja Fresh,39.038402,-77.05717,Fast Food Restaurant
KFC,39.041418000962075,-77.04736967915056,Fast Food Restaurant
Taco Bell,39.04142570495586,-77.0474413407626,Fast Food Restaurant
Burger King,39.102528116434385,-77.07623451948166,Fast Food Restaurant
Clyde's Tower Oaks Lodge,39.065626462306184,-77.15048155207116,American Restaurant
Krispy Kreme Doughnuts,39.09702037072483,-77.19403231104508,Fast Food Restaurant
Chick-fil-A,39.0538753,-77.1163845,Fast Food Restaurant
California Tortilla,39.0403602226222,-77.15606292987462,Fast Food Restaurant
Five Guys,39.08609111497084,-77.15193128496004,Fast Food Restaurant
Chick-fil-A,39.0247962,-77.1465178,Fast Food Restaurant
Five Guys,39.02827513883231,-77.14503041683747,Fast Food Restaurant
Panera Bread,39.0569921,-77.1256629,Bakery
Dairy Queen,39.074666647866714,-77.1159191429615,Fast Food Restaurant
Roy Rogers,39.07941,-77.141845,Fast Food Restaurant
Five Guys,39.05644116380348,-77.11953268845461,Fast Food Restaurant
Jimmy John's,39.04327951902608,-77.11166609280465,Fast Food Restaurant
Kenny's Sub Shop,39.0585315,-77.12294349999999,Chinese Restaurant
Subway,39.102842381119615,-77.19653940120571,Fast Food Restaurant
Subway,39.067691530729554,-77.12827549945573,Fast Food Restaurant
Subway,39.09460335727254,-77.1112803069563,Fast Food Restaurant
Popeyes Louisiana Kitchen,39.04911923936032,-77.11455424107022,Fast Food Restaurant
Subway,39.05720907400178,-77.12464522977439,Fast Food Restaurant
Subway,39.043302302671904,-77.10559637106701,Fast Food Restaurant
Subway,39.025691221148726,-77.12728422796255,Fast Food Restaurant
Popeyes Louisiana Kitchen,39.02425358833138,-77.14690487607646,Fast Food Restaurant
Arby's,39.048686617344,-77.1143179136197,Fast Food Restaurant
Dairy Queen,39.02413211623581,-77.14682861673404,Fast Food Restaurant
Buffalo Wild Wings,39.0858559,-77.1511352,Wings Joint
Subway,39.0404775639947,-77.15547800721794,Fast Food Restaurant
Subway,39.10369497860509,-77.15677901735705,Fast Food Restaurant
Subway,39.058475,-77.121701,Fast Food Restaurant
Subway,39.08427220849542,-77.15332940737494,Fast Food Restaurant
Subway,39.05346935,-77.12461978,Fast Food Restaurant
Subway,39.05679220964898,-77.1048082185384,Fast Food Restaurant
Subway,39.098424,-77.13691800000001,Fast Food Restaurant
Subway,39.07355565281848,-77.13418905798098,Fast Food Restaurant
Subway,39.05310804190861,-77.10458393547805,Fast Food Restaurant
Quiznos,39.093518949945505,-77.132630488004,Fast Food Restaurant
Burger King,39.057762766162966,-77.08461268804058,Fast Food Restaurant
Wendy's,39.07777375276591,-77.13948838793391,Fast Food Restaurant
Subway,39.024517672004066,-77.1468002378195,Fast Food Restaurant
McDonald's,39.074405,-77.115073,Fast Food Restaurant
Taco Bell,39.02207,-77.14679,Fast Food Restaurant
Subway,39.063038978964926,-77.11757489665283,Fast Food Restaurant
Taco Bell,39.07196979071963,-77.13248012275557,Fast Food Restaurant
McDonald's,39.04181333398466,-77.15786755084986,Fast Food Restaurant
McDonald's,39.0277,-77.140415,Fast Food Restaurant
McDonald's,39.077276,-77.139821,Fast Food Restaurant
McDonald's,39.02403484916593,-77.14591026306152,Fast Food Restaurant
Boardwalk Fries,39.024553,-77.14682,Fast Food Restaurant
Steak Escape,39.02207,-77.14679,Fast Food Restaurant
Wok On The Web.Com,39.096053999999995,-77.19411,Fast Food Restaurant
Cheers Cut,39.087107,-77.151874,Fast Food Restaurant
Blimpie,39.08418,-77.15288,Fast Food Restaurant
Wendy's,39.04684722090636,-77.10366069355592,Fast Food Restaurant
Bamboo Buffet,39.07567002028261,-77.1162771586564,Chinese Restaurant
Taco Bell,39.10060109772495,-77.21217976785606,Fast Food Restaurant
KFC,39.10064738560521,-77.21218849264238,Fast Food Restaurant
Chick-fil-A,39.0598656,-77.4498464,Fast Food Restaurant
Five Guys,39.02766856961984,-77.40028709473162,Fast Food Restaurant
Chick-fil-A,39.0248518,-77.4257621,Fast Food Restaurant
Red Robin Gourmet Burgers and Brews,39.028723620666774,-77.4254086132499,Fast Food Restaurant
Burger King,39.03570085662496,-77.40996435284615,Fast Food Restaurant
Kung Fu Tea,39.032496,-77.423748,Fast Food Restaurant
Subway,39.04066266804899,-77.35817492636897,Fast Food Restaurant
Subway,39.036746166769966,-77.40883505522538,Fast Food Restaurant
Taco Bell,39.03236351397957,-77.42367851540949,Fast Food Restaurant
McDonald's,39.024893,-77.424466,Fast Food Restaurant
Subway,39.02715828363331,-77.39769637897804,Fast Food Restaurant
Popeyes Louisiana Kitchen,39.032358033881216,-77.42363318100037,Fast Food Restaurant
McDonald's,39.035352,-77.397825,Fast Food Restaurant
McDonald's,39.03808007733364,-77.41403996944427,Fast Food Restaurant
Wendy's,39.02640712087195,-77.3958847566974,Fast Food Restaurant
Blimpie,39.030503,-77.425979,Fast Food Restaurant
Dairy Queen,39.034202,-77.398012,Fast Food Restaurant
Bojangles' Famous Chicken 'n Biscuits,39.02522,-77.40217,Fast Food Restaurant
Corner of Gdub and LoCo,39.05989715601055,-77.44980723210445,Fast Food Restaurant
Costco Food Court,39.023658314630936,-77.4015405147978,Fast Food Restaurant
Subway,39.02614004471002,-77.42141768717192,Fast Food Restaurant
Great Steak,39.03174990434313,-77.4252863269704,Fast Food Restaurant
KFC/Taco Bell,39.03623800364858,-77.40951782753648,Fast Food Restaurant
Chick-fil-A,38.9553843,-76.823408,Fast Food Restaurant
Chick-fil-A,38.9444456,-76.7169567,Fast Food Restaurant
Five Guys,38.94359028523271,-76.73432249723176,Fast Food Restaurant
Red Robin Gourmet Burgers and Brews,38.944233191583784,-76.73298289030622,Fast Food Restaurant
Subway,38.95442298590529,-76.8114726021206,Fast Food Restaurant
Subway,38.94522833924084,-76.71697380635055,Fast Food Restaurant
Dairy Queen,38.94394040862218,-76.73376994183673,Fast Food Restaurant
Panda Express Bowie,38.945909,-76.73667900000001,Fast Food Restaurant
Subway,38.97281442162227,-76.7709924491088,Fast Food Restaurant
Subway,38.98035959312173,-76.73418518163055,Fast Food Restaurant
Subway,38.96527498753585,-76.79406977180929,Fast Food Restaurant
Subway,38.985334679776486,-76.75896891193094,Fast Food Restaurant
Jimmy John's,38.945909,-76.73667900000001,Fast Food Restaurant
KFC,38.989519661567435,-76.82355218217822,Fast Food Restaurant
Taco Bell,38.97977760265501,-76.7327513038367,Fast Food Restaurant
Uptown Cafe,38.961325429559565,-76.71485304309361,Deli / Bodega
Popeyes Louisiana Kitchen,38.97996266143666,-76.73414452655759,Fast Food Restaurant
McDonald's,38.963802299394594,-76.82622148180141,Fast Food Restaurant
KFC,38.985397,-76.757403,Fast Food Restaurant
Time Cafe,38.9922726185314,-76.82580635139931,Fast Food Restaurant
McDS,38.94724125476045,-76.72335115972002,Fast Food Restaurant
Burger King,38.98504529641064,-76.75794214010244,Fast Food Restaurant
McDonald's,38.98934216222583,-76.82305678725243,Fast Food Restaurant
Wendy's,38.94919560655627,-76.71958722174168,Fast Food Restaurant
McDonald's,38.97300184121295,-76.75649911165237,Fast Food Restaurant
McDonald's,38.9496483,-76.7188321,Fast Food Restaurant
Three Brothers Italian Market,38.94509733349481,-76.93140329131577,Deli / Bodega
Five Guys,38.99060450761918,-76.85320274516747,Fast Food Restaurant
Chick-fil-A,38.988141,-76.944981,Fast Food Restaurant
Jimmy John's,38.98125973539737,-76.93808521288271,Fast Food Restaurant
Panda Express,38.941827568550885,-76.90417649474999,Fast Food Restaurant
Subway,38.984515622151896,-76.94938148958397,Fast Food Restaurant
Checkers,38.93972894774714,-76.93373662204982,Fast Food Restaurant
Popeyes Louisiana Kitchen,38.952462279395064,-76.87857774661352,Fast Food Restaurant
Subway,38.97234881643278,-76.84789602575387,Fast Food Restaurant
Subway,38.991457933650146,-76.83353650519643,Fast Food Restaurant
Generous Joe's,39.00092669639456,-76.87658052200784,Pizza Place
Chipotle Mexican Grill,38.980360533681065,-76.93895814723874,Mexican Restaurant
Burger King,38.938954870564714,-76.90654926002026,Fast Food Restaurant
Subway,38.9561359636136,-76.94037868713724,Fast Food Restaurant
Subway,38.98414996373012,-76.87745306407464,Fast Food Restaurant
Subway,38.9428989713796,-76.90798488470784,Fast Food Restaurant
Subway,38.956609580713454,-76.86933448207037,Fast Food Restaurant
Boston Market,38.96067060746839,-76.91942721605301,American Restaurant
Bojangles' Famous Chicken 'n Biscuits,38.957266,-76.871158,Fast Food Restaurant
Subway,38.98846530180219,-76.93878133641537,Fast Food Restaurant
Subway,38.942770682656274,-76.90106851465151,Fast Food Restaurant
QDOBA Mexican Eats,38.96755909552077,-76.95244789123535,Fast Food Restaurant
