Venue,Latitude,Longitude,Venue Category
Newsstand,39.036858,-77.054096,Convenience Store
Spicy Mart,39.064064,-76.964923,Convenience Store
Dash In,39.04284504582,-77.05246145641445,Convenience Store
Dollar Tree,39.05290369440305,-77.10560543753326,Discount Store
Walgreens,39.08865804194937,-77.15191923896788,Convenience Store
7-Eleven,39.0582919,-77.1243818,Convenience Store
7-Eleven,39.0605195,-77.123425,Convenience Store
7-Eleven,39.0530535784263,-77.1075788140296,Convenience Store
CVS pharmacy,39.04288774069418,-77.11162435565825,Convenience Store
7-Eleven,39.0939426778275,-77.1527606248855,Convenience Store
Dollar Tree,39.05771274017925,-77.12449939015099,Discount Store
7-Eleven,39.07667,-77.1412087,Convenience Store
Shell,39.0875020741222,-77.15350272762723,Convenience Store
7-Eleven,39.0442475,-77.1106334,Convenience Store
Colonial Shell,39.05746227,-77.08058075,Convenience Store
Shell,39.02314716198658,-77.14924961328506,Convenience Store
7-Eleven,39.0848835893791,-77.135194838047,Convenience Store
7-Eleven,39.0740746570371,-77.1151555180631,Convenience Store
Shell,39.05812017027142,-77.12034047046473,Convenience Store
Shell,39.080528,-77.081017,Convenience Store
7-Eleven,39.04633172729,-77.1131336688995,Convenience Store
Shell,39.07480358,-77.11445177,Convenience Store
ICE2U,39.084575,-77.15046600000001,Convenience Store
Las Americas International Market,39.076985066666666,-77.14106855,Convenience Store
Walgreens,39.05653381347656,-77.0843734741211,Convenience Store
Monterey Mart & Café,39.05358697400685,-77.11918177884453,Convenience Store
Rockville Pharmacy,39.073951,-77.13597,Convenience Store
iMart,39.06091,-77.12403499999999,Convenience Store
Beer & Wine,39.071307,-77.132961,Convenience Store
Food Stop Mini Mart,39.04631277012298,-77.09861251201752,Convenience Store
Shell,39.088531097565756,-77.17793583869934,Convenience Store
Sunoco,39.04256304763942,-77.15799020903249,Convenience Store
7-Eleven,39.0959235389214,-77.2063444630112,Convenience Store
Shell,39.1028196,-77.2915912,Convenience Store
7-Eleven,39.1008217,-77.2117466,Convenience Store
Satya Bazaar,39.06817046286288,-77.26331583693539,Convenience Store
6 Twelve,39.10302503333333,-77.29228996666667,Convenience Store
Convenient Mart,39.10311788333333,-77.292358,Convenience Store
Sheetz,39.026479,-77.418199,Convenience Store
7-Eleven,39.04053737330903,-77.4129547374344,Convenience Store
7-Eleven,39.038705,-77.381001,Convenience Store
