Venue,Latitude,Longitude,Venue Category
Tuesday Morning,38.8535844,-77.449698,Discount Store
Dollar Tree,38.83875,-77.43377,Discount Store
Five Below,38.76958342501257,-76.88937680775342,Discount Store
Dollar Tree,38.76798515646672,-76.88951242527708,Discount Store
Family Dollar,38.7661,-76.8912,Discount Store
Clinton Dollar Store,38.77188592010056,-76.88427070314135,Discount Store
Dollar Tree,38.7255742194749,-76.99290262823044,Discount Store
Dollar General,38.712052,-76.987791,Discount Store
Dollar Tree,38.7211822094804,-77.12731934407165,Discount Store
Five Below,38.75095267875192,-77.08698902331355,Discount Store
Dollar Tree,38.74602376831303,-77.08443636150142,Discount Store
Capital Discount Merchandise,38.750541,-77.087034,Discount Store
Dollar General,38.72204,-77.12544100000001,Discount Store
Dollar Tree,38.70504957349708,-77.20719961117805,Discount Store
Dollar Tree,38.70477,-77.20686,Discount Store
